reduced_dim_0,reduced_dim_1,label
-1317.30176460155,2750.601090389799,7
2817.8925230678296,-1643.6208541411888,3
137.29319151400173,-2110.05062569381,8
-2799.705663128189,384.23999354290544,9
3156.1445849374927,-2215.987198678375,3
-1743.7615205403179,2265.123267145537,9
-2422.818543167998,2507.507023876523,7
-1372.317422858678,2153.6026702652034,7
1800.9954204596677,-514.8623326873159,5
-1279.8882133053262,3068.061918509426,4
407.8718190098054,-1066.7685602915333,2
4104.824585253564,-383.4851664337104,5
472.7818274896453,263.082736909127,6
-2030.6032074873933,305.9764586011531,8
-1172.4622968607691,-1971.2100107811582,1
-1764.0103121107434,322.24353741910306,7
-887.8271651508081,3207.060565314683,4
-1205.269987059247,1429.3055540015796,8
4943.46838515157,1958.9547860457806,0
-2811.2119340004256,-183.63709329721672,7
-1203.0641763261274,929.0657590009747,9
1275.767554306935,-1267.52114465048,3
-1343.947364662859,-1197.7307299868462,1
-476.48496059480493,1461.7989092646462,7
1911.68824579712,-405.0036061752381,6
-1058.902707092429,-1920.2144400972625,5
3672.762174287126,-1221.5498746462251,3
-1231.6968489337871,230.98297883415137,3
544.1377712747687,-1965.0412200657945,3
2250.8934354561884,1641.3995619006191,6
4169.035559802008,2703.823194646624,0
-136.06269610061702,-1838.6658652778297,8
-2571.111623504146,-166.61568553602368,4
-529.8835469170219,1651.624399109701,9
-1395.5354094425702,-598.1496614893068,5
-1685.5970268603307,-2765.717360649937,1
-1055.4786138304833,-1341.7618683245892,8
-2501.019575953413,-610.9239890069323,7
-794.800172335712,-1560.5531827998377,8
-497.82459419238546,-1636.624815122644,8
5322.337851925515,2218.169964747,0
-1468.651209105662,-3033.0840415495218,8
-1140.064703664118,-836.0622442923386,2
2668.793765741022,3273.2555309556246,0
835.2374983748134,-356.6404526290407,8
15.127428562602661,664.0762206064305,5
1968.9365476860885,-1029.3473292995725,5
-1230.7428954455934,905.5881603419415,2
-1337.5955271704925,-728.7467858422888,2
3224.2172541754385,915.4157792586706,0
-663.8743318704938,-741.923424142612,1
1212.6571927475588,-816.232037353967,5
-1714.2108972509432,1406.9779574356303,9
735.7583522890735,-1183.2975052932202,3
3439.8796800885893,1565.8261074680956,0
1837.43346316039,1751.417228595072,6
714.3885110257946,-2208.7826799065006,2
2915.199252927823,-708.5649037551943,2
1910.3297613521067,-308.77515152482795,6
-2065.9111417691747,2833.968140764977,4
4829.338532321755,-45.337952718818265,0
-327.8055517679903,-3257.596915694638,1
-688.8788035834012,-2728.7115462019,8
-1482.364532451554,1992.8651868058796,4
2092.2328781056763,269.30045665358784,0
-1590.0333670054508,-1128.9111341413077,2
-461.2208249719123,1326.956671390758,4
-2277.5317836760987,1287.263889278373,7
-1757.867284701428,1318.8452396476712,7
-1098.9523049551597,2416.613116967853,4
-2111.578539739668,1288.9093389500702,4
3789.6387424285094,1984.9754876747697,0
-1384.8649447605317,-2268.6678797723002,1
-1874.5000558390018,2909.91393071847,4
-1326.7178835737166,-481.18279245766064,8
295.7012323727811,2145.266444889543,6
3150.4366218387295,764.8063050893924,0
3376.2441427148647,1062.3202635243445,0
3756.513672301549,-39.05325873195746,0
-2298.4918491305516,-2.371382964732961,9
360.35780977796924,251.47428294590216,6
1298.2023725915253,-2174.4690759996756,3
1516.2923949668732,-932.2769787143532,6
-2585.1509897121164,-825.5449050898089,9
-2346.731421487936,667.8296160856354,9
-1533.4457895374464,2646.0232600856766,4
1544.803257365352,-1267.809524425431,8
1787.7566550319818,133.74758014267096,6
112.0849220853768,-967.1744031203449,6
-986.5870065184666,-940.7321418019743,1
-932.4662198932647,2450.268808261258,9
-383.2866421748198,-208.8897550129478,5
-177.75958657217637,-2564.803224278721,2
2934.8935606653968,-604.8925211613539,6
519.234640673191,-826.0148971316311,3
-2499.1317177403766,907.6836973390222,4
-1611.0753733282934,1943.3256448130246,9
-1630.9543756256703,-2493.6409649066254,1
2183.5792074227525,394.2363285847408,0
-1140.1518863650085,847.6581455244284,4
-264.07969192158663,-1147.0815973766835,2
1414.1855085481984,-945.0806887999493,8
-581.7684584234786,313.2710790740927,5
-1980.6536017631572,1317.0839474782442,4
-1760.6544080639233,2276.2422855886684,4
